"13";"octobre  ";"2005";"lci-monde-2005-10-13.html                         ";"une                     ";"0,,3253803-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-13.html                         ";"focus                   ";"0,,3252927-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-13.html                         ";"grostitre               ";"0,,3253782-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-14.html                         ";"grostitre               ";"0,,3253782-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-14.html                         ";"grostitre               ";"0,,3253803-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-16.html                         ";"rappel                  ";"0,,3253782-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-17.html                         ";"voiraussi               ";"0,,3253895-vu5wx0leiduy,00.html                                            "
"13";"octobre  ";"2005";"lci-monde-2005-10-17.html                         ";"rappel                  ";"0,,3253782-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-05.html                         ";"une                     ";"0,,3268936-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-05.html                         ";"focus                   ";"0,,3268939-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-05.html                         ";"grostitre               ";"0,,3268938-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-05.html                         ";"grostitre               ";"0,,3268963-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-05.html                         ";"grostitre               ";"0,,3268948-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"voiraussi               ";"0,,3268739-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"voiraussi               ";"0,,3268948-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"voiraussi               ";"0,,3269177-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3269222-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3268936-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3269177-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3268948-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3269230-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3268963-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3268938-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-07.html                         ";"voiraussi               ";"0,,3269177-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-07.html                         ";"grostitre               ";"0,,3269209-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-07.html                         ";"grostitre               ";"0,,3269222-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-07.html                         ";"grostitre               ";"0,,3268936-vu5wx0leiduy,00.html                                            "
"05";"décembre ";"2005";"lci-monde-2005-12-07.html                         ";"grostitre               ";"0,,3269177-vu5wx0leiduy,00.html                                            "
