"mardi   ";"21";"février  ";"2006";"lci-monde-2006-02-20.html                         "
"mercredi";"18";"janvier  ";"2006";"lci-monde-2006-01-17.html                         "
"jeudi   ";"17";"novembre ";"2005";"lci-monde-2005-11-16.html                         "
"vendredi";"29";"avril    ";"2005";"lci-monde-2005-04-27.html                         "
"mercredi";"29";"juin     ";"2005";"lci-monde-2005-06-28.html                         "
"mercredi";"26";"octobre  ";"2005";"lci-monde-2005-10-25.html                         "
"lundi   ";"11";"avril    ";"2005";"lci-monde-2005-04-10.html                         "
"mardi   ";"14";"février  ";"2006";"lci-monde-2006-02-13.html                         "
"mardi   ";"7 ";"février  ";"2006";"lci-monde-2006-02-06.html                         "
"mercredi";"16";"novembre ";"2005";"lci-monde-2005-11-15.html                         "
"samedi  ";"9 ";"juillet  ";"2005";"lci-monde-2005-07-08.html                         "
"mardi   ";"5 ";"juillet  ";"2005";"lci-monde-2005-07-04.html                         "
"vendredi";"16";"septembre";"2005";"lci-monde-2005-09-15.html                         "
"vendredi";"3 ";"juin     ";"2005";"lci-monde-2005-06-02.html                         "
"lundi   ";"6 ";"février  ";"2006";"lci-monde-2006-02-05.html                         "
"dimanche";"18";"septembre";"2005";"lci-monde-2005-09-17.html                         "
"dimanche";"22";"janvier  ";"2006";"lci-monde-2006-01-21.html                         "
"lundi   ";"25";"juillet  ";"2005";"lci-monde-2005-07-24.html                         "
"mardi   ";"3 ";"janvier  ";"2006";"lci-monde-2006-01-01.html                         "
"samedi  ";"31";"décembre ";"2005";"lci-monde-2005-12-30.html                         "
"dimanche";"14";"août     ";"2005";"lci-monde-2005-08-13.html                         "
"jeudi   ";"10";"mars     ";"2005";"lci-monde-2005-03-08.html                         "
"samedi  ";"18";"février  ";"2006";"lci-monde-2006-02-17.html                         "
"vendredi";"5 ";"août     ";"2005";"lci-monde-2005-08-04.html                         "
"mercredi";"8 ";"juin     ";"2005";"lci-monde-2005-06-07.html                         "
"mardi   ";"12";"avril    ";"2005";"lci-monde-2005-04-11.html                         "
"jeudi   ";"1 ";"septembre";"2005";"lci-monde-2005-08-31.html                         "
"vendredi";"8 ";"juillet  ";"2005";"lci-monde-2005-07-07.html                         "
"mercredi";"22";"juin     ";"2005";"lci-monde-2005-06-21.html                         "
"dimanche";"4 ";"septembre";"2005";"lci-monde-2005-09-03.html                         "
"jeudi   ";"3 ";"novembre ";"2005";"lci-monde-2005-11-02.html                         "
"mardi   ";"11";"octobre  ";"2005";"lci-monde-2005-10-10.html                         "
"mercredi";"14";"septembre";"2005";"lci-monde-2005-09-13.html                         "
"mercredi";"31";"août     ";"2005";"lci-monde-2005-08-30.html                         "
"mercredi";"20";"avril    ";"2005";"lci-monde-2005-04-18.html                         "
"lundi   ";"30";"janvier  ";"2006";"lci-monde-2006-01-29.html                         "
"samedi  ";"26";"novembre ";"2005";"lci-monde-2005-11-25.html                         "
"jeudi   ";"10";"novembre ";"2005";"lci-monde-2005-11-09.html                         "
"lundi   ";"3 ";"octobre  ";"2005";"lci-monde-2005-10-02.html                         "
"jeudi   ";"23";"février  ";"2006";"lci-monde-2006-02-22.html                         "
"jeudi   ";"8 ";"décembre ";"2005";"lci-monde-2005-12-07.html                         "
"jeudi   ";"18";"août     ";"2005";"lci-monde-2005-08-17.html                         "
"mardi   ";"31";"janvier  ";"2006";"lci-monde-2006-01-30.html                         "
"mercredi";"16";"mars     ";"2005";"lci-monde-2005-03-15.html                         "
"mardi   ";"31";"mai      ";"2005";"lci-monde-2005-05-30.html                         "
"mardi   ";"27";"septembre";"2005";"lci-monde-2005-09-26.html                         "
"dimanche";"11";"décembre ";"2005";"lci-monde-2005-12-08.html                         "
"mercredi";"4 ";"janvier  ";"2006";"lci-monde-2006-01-03.html                         "
"lundi   ";"18";"juillet  ";"2005";"lci-monde-2005-07-17.html                         "
"samedi  ";"17";"décembre ";"2005";"lci-monde-2005-12-15.html                         "
"dimanche";"27";"novembre ";"2005";"lci-monde-2005-11-26.html                         "
"jeudi   ";"13";"octobre  ";"2005";"lci-monde-2005-10-12.html                         "
"lundi   ";"11";"juillet  ";"2005";"lci-monde-2005-07-10.html                         "
"samedi  ";"5 ";"novembre ";"2005";"lci-monde-2005-11-04.html                         "
"dimanche";"22";"mai      ";"2005";"lci-monde-2005-05-21.html                         "
"samedi  ";"21";"janvier  ";"2006";"lci-monde-2006-01-20.html                         "
"dimanche";"20";"novembre ";"2005";"lci-monde-2005-11-19.html                         "
"mardi   ";"28";"juin     ";"2005";"lci-monde-2005-06-27.html                         "
"dimanche";"13";"novembre ";"2005";"lci-monde-2005-11-11.html                         "
"mercredi";"20";"juillet  ";"2005";"lci-monde-2005-07-19.html                         "
"mardi   ";"14";"juin     ";"2005";"lci-monde-2005-06-13.html                         "
"vendredi";"15";"avril    ";"2005";"lci-monde-2005-04-14.html                         "
"vendredi";"15";"avril    ";"2005";"lci-monde-2005-04-15.html                         "
"mardi   ";"28";"février  ";"2006";"lci-monde-2006-02-27.html                         "
"dimanche";"9 ";"octobre  ";"2005";"lci-monde-2005-10-08.html                         "
"mercredi";"8 ";"février  ";"2006";"lci-monde-2006-02-07.html                         "
"jeudi   ";"11";"août     ";"2005";"lci-monde-2005-08-10.html                         "
"mardi   ";"20";"décembre ";"2005";"lci-monde-2005-12-18.html                         "
"vendredi";"25";"novembre ";"2005";"lci-monde-2005-11-24.html                         "
"vendredi";"30";"décembre ";"2005";"lci-monde-2005-12-29.html                         "
"mercredi";"25";"janvier  ";"2006";"lci-monde-2006-01-24.html                         "
"dimanche";"15";"janvier  ";"2006";"lci-monde-2006-01-14.html                         "
"vendredi";"21";"octobre  ";"2005";"lci-monde-2005-10-20.html                         "
"jeudi   ";"28";"juillet  ";"2005";"lci-monde-2005-07-27.html                         "
"dimanche";"12";"février  ";"2006";"lci-monde-2006-02-10.html                         "
"jeudi   ";"26";"janvier  ";"2006";"lci-monde-2006-01-25.html                         "
"dimanche";"6 ";"novembre ";"2005";"lci-monde-2005-11-05.html                         "
"samedi  ";"23";"juillet  ";"2005";"lci-monde-2005-07-22.html                         "
"vendredi";"24";"juin     ";"2005";"lci-monde-2005-06-23.html                         "
"lundi   ";"28";"février  ";"2005";"lci-monde-2005-02-27.html                         "
"dimanche";"18";"décembre ";"2005";"lci-monde-2005-12-17.html                         "
"vendredi";"30";"septembre";"2005";"lci-monde-2005-09-29.html                         "
"vendredi";"13";"janvier  ";"2006";"lci-monde-2006-01-12.html                         "
"dimanche";"3 ";"juillet  ";"2005";"lci-monde-2005-07-02.html                         "
"vendredi";"17";"février  ";"2006";"lci-monde-2006-02-16.html                         "
"mercredi";"28";"décembre ";"2005";"lci-monde-2005-12-27.html                         "
"lundi   ";"16";"mai      ";"2005";"lci-monde-2005-05-15.html                         "
"dimanche";"28";"août     ";"2005";"lci-monde-2005-08-27.html                         "
"samedi  ";"13";"août     ";"2005";"lci-monde-2005-08-11.html                         "
"vendredi";"25";"mars     ";"2005";"lci-monde-2005-03-24.html                         "
"samedi  ";"16";"juillet  ";"2005";"lci-monde-2005-07-15.html                         "
"lundi   ";"24";"octobre  ";"2005";"lci-monde-2005-10-23.html                         "
"lundi   ";"4 ";"juillet  ";"2005";"lci-monde-2005-07-03.html                         "
"dimanche";"10";"avril    ";"2005";"lci-monde-2005-04-09.html                         "
"vendredi";"2 ";"septembre";"2005";"lci-monde-2005-09-01.html                         "
"mardi   ";"3 ";"mai      ";"2005";"lci-monde-2005-04-30.html                         "
"vendredi";"27";"mai      ";"2005";"lci-monde-2005-05-26.html                         "
"vendredi";"23";"septembre";"2005";"lci-monde-2005-09-22.html                         "
"dimanche";"19";"février  ";"2006";"lci-monde-2006-02-18.html                         "
"samedi  ";"19";"mars     ";"2005";"lci-monde-2005-03-18.html                         "
"dimanche";"12";"juin     ";"2005";"lci-monde-2005-06-10.html                         "
"dimanche";"29";"mai      ";"2005";"lci-monde-2005-05-28.html                         "
"vendredi";"20";"janvier  ";"2006";"lci-monde-2006-01-19.html                         "
"jeudi   ";"19";"janvier  ";"2006";"lci-monde-2006-01-18.html                         "
"mardi   ";"4 ";"octobre  ";"2005";"lci-monde-2005-10-03.html                         "
