"autriche                ";"lci-monde-2005-09-06.html                         ";"grostitre               ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2005-09-07.html                         ";"grostitre               ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2005-09-08.html                         ";"grostitre               ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2005-09-09.html                         ";"rappel                  ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2005-09-10.html                         ";"rappel                  ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2005-09-11.html                         ";"rappel                  ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2006-01-03.html                         ";"grostitre               ";"0,,3275894-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2006-01-04.html                         ";"rappel                  ";"0,,3275894-vu5wx0leiduy,00.html                                            "
"autriche                ";"lci-monde-2006-01-05.html                         ";"rappel                  ";"0,,3275894-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-03-08.html                         ";"grostitre               ";"0,,3206402-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-03-10.html                         ";"rappel                  ";"0,,3206402-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-14.html                         ";"grostitre               ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-15.html                         ";"grostitre               ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-16.html                         ";"grostitre               ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-17.html                         ";"rappel                  ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-18.html                         ";"grostitre               ";"0,,3219546-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-18.html                         ";"rappel                  ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-19.html                         ";"grostitre               ";"0,,3219546-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-19.html                         ";"rappel                  ";"0,,3219192-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-20.html                         ";"rappel                  ";"0,,3219546-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-05-21.html                         ";"rappel                  ";"0,,3219546-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-06-04.html                         ";"grostitre               ";"0,,3223784-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2005-06-06.html                         ";"rappel                  ";"0,,3223784-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-16.html                         ";"grostitre               ";"0,,3284628-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-17.html                         ";"grostitre               ";"0,,3284628-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-18.html                         ";"grostitre               ";"0,,3284628-vu5wx0leiduy,00.html                                            "
